grupo;codigo;municipio;valor_pct;Sigla;IDH;esperanca_vida;numeroPessoas;anos_estudo;taxa_analfabetismo;renda_percapta;tx_desemprego;municipio_merge
Grupo_1 - PropPretos;2900405;Água Fria;0.116331;BA;0.55;69.79;15731;7.56;27.26;215.12;8.61;Água Fria (BA)
Grupo_1 - PropPretos;2207553;Paquetá;0.1227393296358814;PI;0.509;68.88;4147;7.24;43.69;202.6;4.36;Paquetá (PI)
Grupo_2 - IDH;2202109;Campinas do Piauí;14.18;PI;0.544;71.55;5408;7.99;27.68;209.0;3.66;Campinas do Piauí (PI)
Grupo_2 - IDH;2918753;Lagoa Real;7.7;BA;0.545;70.82;13934;8.46;23.83;223.11;4.28;Lagoa Real (BA)
Grupo_2 - IDH;2205805;Luzilândia;6.06;PI;0.545;67.0;24721;8.3;35.46;245.02;3.49;Luzilândia (PI)
Grupo_2 - IDH;2101970;Boa Vista do Gurupi;6.1;MA;0.545;65.86;7949;9.38;23.74;196.78;6.98;Boa Vista do Gurupi (MA)
Grupo_2 - IDH;2201507;Batalha;3.89;PI;0.545;70.31;25774;8.6;35.73;230.66;5.47;Batalha (PI)
Grupo_2 - IDH;2922706;Nova Canaã;11.11;BA;0.545;72.35;16713;7.12;31.43;251.9;6.99;Nova Canaã (BA)
Grupo_2 - IDH;2106706;Mirador;5.32;MA;0.545;69.39;20452;8.47;29.53;163.97;5.2;Mirador (MA)
Grupo_2 - IDH;2615102;Terezinha;2.21;PE;0.545;67.65;6737;8.43;37.15;225.28;4.98;Terezinha (PE)
Grupo_2 - IDH;2505709;Dona Inês;4.73;PB;0.545;66.41;10517;9.53;39.32;208.12;4.67;Dona Inês (PB)
Grupo_2 - IDH;2106904;Monção;19.14;MA;0.546;67.23;31738;8.76;27.56;178.1;4.43;Monção (MA)
Grupo_2 - IDH;2927606;Santa Brígida;3.98;BA;0.546;67.58;15060;8.72;34.08;220.77;4.48;Santa Brígida (BA)
Grupo_2 - IDH;2929354;São José da Vitória;26.5;BA;0.546;66.16;5715;8.57;28.1;250.42;11.0;São José da Vitória (BA)
Grupo_2 - IDH;2919009;Lajedinho;13.0;BA;0.546;70.2;3936;7.13;27.58;205.65;12.34;Lajedinho (BA)
Grupo_2 - IDH;2905107;Caém;15.15;BA;0.546;67.08;10368;8.99;25.16;223.48;9.41;Caém (BA)
Grupo_2 - IDH;2202083;Cajueiro da Praia;5.7;PI;0.546;69.36;7163;8.89;32.67;246.88;6.04;Cajueiro da Praia (PI)
Grupo_2 - IDH;2101806;Benedito Leite;5.17;MA;0.546;68.14;5469;7.6;29.24;217.65;12.77;Benedito Leite (MA)
Grupo_3 - Santa Luzia do Itanhy;2806305;Santa Luzia do Itanhy;16.97;SE;0.545;70.82;12969;8.54;33.03;194.24;7.9;Santa Luzia do Itanhy (SE)
Grupo_5 - Isolados;2105658;Junco do Maranhão;4.53;MA;0.552;66.39;4020;9.08;27.16;244.54;3.36;Junco do Maranhão (MA)
Grupo_5 - Isolados;2105948;Lago dos Rodrigues;6.45;MA;0.602;69.22;7794;10.19;30.06;252.89;2.19;Lago dos Rodrigues (MA)
Grupo_5 - Isolados;2400406;Água Nova;10.05;RN;0.616;71.56;2980;10.52;22.66;212.82;19.57;Água Nova (RN)
Grupo_5 - Isolados;2401651;Bodó;2.67;RN;0.629;71.33;2425;8.65;24.86;277.16;7.16;Bodó (RN)
Grupo_5 - Isolados;2406007;José da Penha;2.83;RN;0.608;72.29;5868;9.53;29.73;301.09;6.77;José da Penha (RN)
Grupo_5 - Isolados;2407252;Major Sales;1.24;RN;0.617;71.46;3536;10.43;29.03;282.48;14.25;Major Sales (RN)
Grupo_5 - Isolados;2410009;Pilões;7.61;RN;0.614;71.63;3453;9.26;29.59;270.87;15.57;Pilões (RN)
Grupo_5 - Isolados;2410801;Riacho de Santana;1.46;RN;0.591;71.56;4156;9.23;27.45;237.37;12.26;Riacho de Santana (RN)
Grupo_5 - Isolados;2413102;Senador Elói de Souza;4.99;RN;0.583;70.12;5637;9.53;31.07;207.76;6.37;Senador Elói de Souza (RN)
Grupo_5 - Isolados;2414456;Triunfo Potiguar;2.79;RN;0.602;68.81;3368;9.89;29.83;294.09;7.99;Triunfo Potiguar (RN)
Grupo_5 - Isolados;2926400;Riacho de Santana;10.85;BA;0.615;70.82;30646;9.2;27.54;281.05;8.24;Riacho de Santana (BA)
