Sigla;codigo;municipio;taxa_analfabetismo
BA;2912806;Ibirapuã;23.09
BA;2912905;Ibirataia;28.88
BA;2913002;Ibitiara;23.22
BA;2913101;Ibititá;22.73
BA;2913200;Ibotirama;17.98
BA;2913309;Ichu;14.24
BA;2913408;Igaporã;20.39
BA;2913457;Igrapiúna;24.49
BA;2913507;Iguaí;30.23
BA;2913606;Ilhéus;12.48
BA;2913705;Inhambupe;25.56
BA;2913804;Ipecaetá;26.23
BA;2913903;Ipiaú;19.91
BA;2914000;Ipirá;27.48
BA;2914109;Ipupiara;15.88
BA;2914208;Irajuba;27.82
BA;2914307;Iramaia;24.32
BA;2914406;Iraquara;17.72
BA;2914505;Irará;23.27
BA;2914604;Irecê;13.4
BA;2914653;Itabela;25.74
BA;2914703;Itaberaba;17.96
BA;2914802;Itabuna;10.38
BA;2914901;Itacaré;23,00
BA;2915007;Itaeté;26.32
BA;2915106;Itagi;30.77
BA;2915205;Itagibá;26.51
BA;2915304;Itagimirim;27.89
BA;2915353;Itaguaçu da Bahia;28.72
BA;2915403;Itaju do Colônia;25.65
BA;2915502;Itajuípe;21.8
BA;2915601;Itamaraju;22.11
BA;2915700;Itamari;28.21
BA;2915809;Itambé;24.74
BA;2915908;Itanagra;24.56
BA;2916005;Itanhém;24.82
BA;2916104;Itaparica;7.58
BA;2916203;Itapé;23.21
BA;2916302;Itapebi;29.64
BA;2916401;Itapetinga;14.89
BA;2916500;Itapicuru;38.52
BA;2916609;Itapitanga;25.68
BA;2916708;Itaquara;33.8
BA;2916807;Itarantim;23.03
BA;2916856;Itatim;23.32
BA;2916906;Itiruçu;24.52
BA;2917003;Itiúba;26.55
BA;2917102;Itororó;24.37
BA;2917201;Ituaçu;25.8
BA;2917300;Ituberá;20.38
BA;2917334;Iuiú;25.99
BA;2917359;Jaborandi;25.57
BA;2917409;Jacaraci;25.82
BA;2917508;Jacobina;17.56
BA;2917607;Jaguaquara;26.78
BA;2917706;Jaguarari;18.1
BA;2917805;Jaguaripe;28.35
BA;2917904;Jandaíra;27.29
BA;2918001;Jequié;15.88
BA;2918100;Jeremoabo;32,00
BA;2918209;Jiquiriçá;22.6
BA;2918308;Jitaúna;29.72
BA;2918357;João Dourado;20.67
BA;2918407;Juazeiro;13.35
BA;2918456;Jucuruçu;32.04
BA;2918506;Jussara;25.77
BA;2918555;Jussari;29.42
BA;2918605;Jussiape;25.07
BA;2918704;Lafaiete Coutinho;26.98
BA;2918753;Lagoa Real;23.83
BA;2918803;Laje;27.44
BA;2918902;Lajedão;24.18
BA;2919009;Lajedinho;27.58
BA;2919058;Lajedo do Tabocal;29.36
BA;2919108;Lamarão;32.78
BA;2919157;Lapão;20.99
BA;2919207;Lauro de Freitas;4.93
BA;2919306;Lençóis;18.65
BA;2919405;Licínio de Almeida;22.9
BA;2919504;Livramento de Nossa Senhora;21.15
BA;2919553;Luís Eduardo Magalhães;7.27
BA;2919603;Macajuba;27.76
BA;2919702;Macarani;27.5
BA;2919801;Macaúbas;26.44
BA;2919900;Macururé;25.77
BA;2919926;Madre de Deus;5.26
BA;2919959;Maetinga;32.92
BA;2920007;Maiquinique;26.79
BA;2920106;Mairi;24.09
BA;2920205;Malhada;24.31
BA;2920304;Malhada de Pedras;26.09
BA;2920403;Manoel Vitorino;27.81
BA;2920452;Mansidão;17.54
BA;2920502;Maracás;24.62
BA;2920601;Maragogipe;22.75
BA;2920700;Maraú;25.44
BA;2920809;Marcionílio Souza;30.6
BA;2920908;Mascote;30.47
BA;2921005;Mata de São João;11.56
BA;2921054;Matina;31.97
BA;2921104;Medeiros Neto;24.08
BA;2921203;Miguel Calmon;20.42
BA;2921302;Milagres;22.25
BA;2921401;Mirangaba;25.45
BA;2921450;Mirante;30.18
BA;2921500;Monte Santo;35.57
BA;2921609;Morpará;27.64
BA;2921708;Morro do Chapéu;22,00
BA;2921807;Mortugaba;26.49
BA;2921906;Mucugê;19.83
BA;2922003;Mucuri;18.26
BA;2922052;Mulungu do Morro;20.41
BA;2922102;Mundo Novo;22.88
BA;2922201;Muniz Ferreira;22.54
BA;2922250;Muquém de São Francisco;25.28
BA;2922300;Muritiba;16.84
BA;2922409;Mutuípe;23.48
BA;2922508;Nazaré;18.43
BA;2922607;Nilo Peçanha;26.29
BA;2922656;Nordestina;29.46
BA;2922706;Nova Canaã;31.43
BA;2922730;Nova Fátima;23.62
BA;2922755;Nova Ibiá;29.01
BA;2922805;Nova Itarana;30.56
BA;2922854;Nova Redenção;27.15
BA;2922904;Nova Soure;31.39
BA;2923001;Nova Viçosa;19.02
BA;2923035;Novo Horizonte;21.94
BA;2923050;Novo Triunfo;23.28
BA;2923100;Olindina;29.11
BA;2923209;Oliveira dos Brejinhos;22.08
BA;2923308;Ouriçangas;26.9
BA;2923357;Ourolândia;27.85
BA;2923407;Palmas de Monte Alto;28.42
BA;2923506;Palmeiras;17.81
BA;2923605;Paramirim;20.02
BA;2923704;Paratinga;24.28
BA;2923803;Paripiranga;28.07
BA;2923902;Pau Brasil;28.19
BA;2924009;Paulo Afonso;16.69
BA;2924058;Pé de Serra;24.36
BA;2924108;Pedrão;21.88
BA;2924207;Pedro Alexandre;40.96
BA;2924306;Piatã;23.74
BA;2924405;Pilão Arcado;30.09
BA;2924504;Pindaí;23.8
BA;2924603;Pindobaçu;24.68
BA;2924652;Pintadas;24.03
BA;2924678;Piraí do Norte;26.18
BA;2924702;Piripá;25.41
BA;2924801;Piritiba;21.63
BA;2924900;Planaltino;32.24
BA;2925006;Planalto;29.46
BA;2925105;Poções;26.93
BA;2925204;Pojuca;9.32
BA;2925253;Ponto Novo;25.44
BA;2925303;Porto Seguro;11.98
BA;2925402;Potiraguá;22.35
BA;2925501;Prado;19.9
BA;2925600;Presidente Dutra;15.42
BA;2925709;Presidente Jânio Quadros;34.02
BA;2925758;Presidente Tancredo Neves;29.15
BA;2925808;Queimadas;23.61
BA;2925907;Quijingue;34.47
BA;2925931;Quixabeira;30.83
BA;2925956;Rafael Jambeiro;29.78
BA;2926004;Remanso;27.45
BA;2926103;Retirolândia;19.21
BA;2926202;Riachão das Neves;30.16
BA;2926301;Riachão do Jacuípe;17.98
BA;2926400;Riacho de Santana;27.54
BA;2926509;Ribeira do Amparo;35.59
BA;2926608;Ribeira do Pombal;26.34
BA;2926657;Ribeirão do Largo;30.96
BA;2926707;Rio de Contas;20.04
BA;2926806;Rio do Antônio;28.44
BA;2926905;Rio do Pires;27.34
BA;2927002;Rio Real;24.43
BA;2927101;Rodelas;22.16
BA;2927200;Ruy Barbosa;22.69
BA;2927309;Salinas da Margarida;12.04
BA;2927408;Salvador;3.97
BA;2927507;Santa Bárbara;22.23
BA;2927606;Santa Brígida;34.08
BA;2927705;Santa Cruz Cabrália;15.81
BA;2927804;Santa Cruz da Vitória;24.61
BA;2927903;Santa Inês;28.26
BA;2928000;Santaluz;23.37
BA;2928059;Santa Luzia;29.89
BA;2928109;Santa Maria da Vitória;23.97
BA;2928208;Santana;25.72
BA;2928307;Santanópolis;24.27
BA;2928406;Santa Rita de Cássia;21.04
BA;2928505;Santa Teresinha;25.36
BA;2928604;Santo Amaro;12.66
BA;2928703;Santo Antônio de Jesus;12.35
BA;2928802;Santo Estêvão;21.48
BA;2928901;São Desidério;25.55
BA;2928950;São Domingos;22.14
BA;2929008;São Félix;15.01
BA;2929057;São Félix do Coribe;16.83
BA;2929107;São Felipe;22.64
BA;2929206;São Francisco do Conde;10.1
BA;2929255;São Gabriel;19.56
BA;2929305;São Gonçalo dos Campos;15.03
BA;2929354;São José da Vitória;28.1
BA;2929370;São José do Jacuípe;28.56
BA;2929404;São Miguel das Matas;24.61
BA;2929503;São Sebastião do Passé;13.74
BA;2929602;Sapeaçu;15.88
BA;2929701;Sátiro Dias;30.37
BA;2929750;Saubara;14.62
BA;2929800;Saúde;21.74
BA;2929909;Seabra;16.1
BA;2930006;Sebastião Laranjeiras;24.78
BA;2930105;Senhor do Bonfim;16.31
BA;2930154;Serra do Ramalho;24.77
BA;2930204;Sento Sé;24.54
BA;2930303;Serra Dourada;23.85
BA;2930402;Serra Preta;27.72
BA;2930501;Serrinha;17.01
BA;2930600;Serrolândia;22.61
BA;2930709;Simões Filho;7.9
BA;2930758;Sítio do Mato;20.89
BA;2930766;Sítio do Quinto;37.98
BA;2930774;Sobradinho;18.35
BA;2930808;Souto Soares;20.74
BA;2930907;Tabocas do Brejo Velho;29.51
BA;2931004;Tanhaçu;25.92
BA;2931053;Tanque Novo;27.81
BA;2931103;Tanquinho;19.58
BA;2931202;Taperoá;27.21
BA;2931301;Tapiramutá;23.61
BA;2931350;Teixeira de Freitas;14.65
BA;2931400;Teodoro Sampaio;22.95
BA;2931509;Teofilândia;24.94
BA;2931608;Teolândia;30.8
BA;2931707;Terra Nova;13.08
BA;2931806;Tremedal;30.61
BA;2931905;Tucano;29.39
BA;2932002;Uauá;23.51
BA;2932101;Ubaíra;29.91
BA;2932200;Ubaitaba;21.32
BA;2932309;Ubatã;26.77
BA;2932408;Uibaí;16.56
BA;2932457;Umburanas;25.36
BA;2932507;Una;25.35
BA;2932606;Urandi;23.24
BA;2932705;Uruçuca;21.91
BA;2932804;Utinga;20.97
BA;2932903;Valença;19.2
BA;2933000;Valente;16.14
BA;2933059;Várzea da Roça;28.9
BA;2933109;Várzea do Poço;23.7
BA;2933158;Várzea Nova;23.57
BA;2933174;Varzedo;26.23
BA;2933208;Vera Cruz;10.76
BA;2933257;Vereda;30.7
BA;2933307;Vitória da Conquista;13.31
BA;2933406;Wagner;21.58
BA;2933455;Wanderley;24.77
BA;2933505;Wenceslau Guimarães;30.47
BA;2933604;Xique-Xique;22.21
BA;2999919;Trancoso;
BA;2999929;Barcellos;
BA;2999939;Olivença;
BA;2999949;Villa Verde;
CE;2300101;Abaiara;29.4
CE;2300150;Acarapé;21.77
CE;2300200;Acaraú;28.83
CE;2300309;Acopiara;32.87
CE;2300408;Aiuaba;34.14
CE;2300507;Alcântaras;29.11
CE;2300606;Altaneira;31.83
CE;2300705;Alto Santo;30.13
CE;2300754;Amontada;25.67
CE;2300804;Antonina do Norte;32.61
CE;2300903;Apuiarés;26.8
CE;2301000;Aquiraz;20.83
CE;2301109;Aracati;20.82
CE;2301208;Aracoiaba;30.07
CE;2301257;Ararendá;34.02
CE;2301307;Araripe;33.54
CE;2301406;Aratuba;25.35
CE;2301505;Arneiroz;30.26
CE;2301604;Assaré;31.68
CE;2301703;Aurora;28.05
CE;2301802;Baixio;23.75
CE;2301851;Banabuiú;30.18
CE;2301901;Barbalha;18.79
CE;2301950;Barreira;27.46
CE;2302008;Barro;23.37
CE;2302057;Barroquinha;36.5
CE;2302107;Baturité;22.03
CE;2302206;Beberibe;26.05
CE;2302305;Bela Cruz;27.09
CE;2302404;Boa Viagem;32.57
CE;2302503;Brejo Santo;22.68
CE;2302602;Camocim;26.49
CE;2302701;Campos Sales;29.21
CE;2302800;Canindé;24.67
CE;2302909;Capistrano;27.78
CE;2303006;Caridade;26.83
CE;2303105;Cariré;30.47
CE;2303204;Caririaçu;31.65
CE;2303303;Cariús;31.79
CE;2303402;Carnaubal;29.66
CE;2303501;Cascavel;22.89
CE;2303600;Catarina;29.44
CE;2303659;Catunda;30.02
CE;2303709;Caucaia;12.86
CE;2303808;Cedro;27.52
CE;2303907;Chaval;32.47
CE;2303931;Choró;32.43
CE;2303956;Chorozinho;28.72
CE;2304004;Coreaú;36.91
CE;2304103;Crateús;24.99
CE;2304202;Crato;14.94
CE;2304236;Croatá;35.25
CE;2304251;Cruz;24.64
CE;2304269;Deputado Irapuan Pinheiro;32.28
CE;2304277;Ererê;30.73
CE;2304285;Eusébio;13.49
CE;2304301;Farias Brito;27.62
CE;2304350;Forquilha;26.18
CE;2304400;Fortaleza;6.94
CE;2304459;Fortim;26.79
CE;2304509;Frecheirinha;33.33
CE;2304608;General Sampaio;32.58
CE;2304657;Graça;35.69
CE;2304707;Granja;38.57
CE;2304806;Granjeiro;30.62
CE;2304905;Groaíras;25.24
CE;2304954;Guaiúba;23.07
CE;2305001;Guaraciaba do Norte;28.43
CE;2305100;Guaramiranga;17.85
CE;2305209;Hidrolândia;30.19
CE;2305233;Horizonte;15.65
CE;2305266;Ibaretama;34.67
CE;2305308;Ibiapina;25.48
CE;2305332;Ibicuitinga;29.34
CE;2305357;Icapuí;26.07
CE;2305407;Icó;32.83
CE;2305506;Iguatu;23.36
CE;2305605;Independência;28.74
CE;2305654;Ipaporanga;34.29
CE;2305704;Ipaumirim;27.32
CE;2305803;Ipu;28.13
CE;2305902;Ipueiras;32.03
CE;2306009;Iracema;26.59
CE;2306108;Irauçuba;28.01
CE;2306207;Itaiçaba;22.82
CE;2306256;Itaitinga;17.2
CE;2306306;Itapagé;23.36
CE;2306405;Itapipoca;22.68
