Sigla;codigo;municipio;esperanca_vida
BA;2913606;Ilhéus;73.47
BA;2913705;Inhambupe;70.43
BA;2913804;Ipecaetá;71.53
BA;2913903;Ipiaú;72.74
BA;2914000;Ipirá;69.89
BA;2914109;Ipupiara;69.16
BA;2914208;Irajuba;71.57
BA;2914307;Iramaia;69.37
BA;2914406;Iraquara;69.95
BA;2914505;Irará;73.53
BA;2914604;Irecê;71.53
BA;2914653;Itabela;70.08
BA;2914703;Itaberaba;71.12
BA;2914802;Itabuna;73.42
BA;2914901;Itacaré;73.42
BA;2915007;Itaeté;68.15
BA;2915106;Itagi;66.62
BA;2915205;Itagibá;71.2
BA;2915304;Itagimirim;74.24
BA;2915353;Itaguaçu da Bahia;69.42
BA;2915403;Itaju do Colônia;68.45
BA;2915502;Itajuípe;70.52
BA;2915601;Itamaraju;71.04
BA;2915700;Itamari;67.77
BA;2915809;Itambé;69.99
BA;2915908;Itanagra;72.73
BA;2916005;Itanhém;72.41
BA;2916104;Itaparica;74.56
BA;2916203;Itapé;70.66
BA;2916302;Itapebi;68.08
BA;2916401;Itapetinga;72.39
BA;2916500;Itapicuru;67.63
BA;2916609;Itapitanga;70.81
BA;2916708;Itaquara;70.75
BA;2916807;Itarantim;70.93
BA;2916856;Itatim;71.93
BA;2916906;Itiruçu;70.7
BA;2917003;Itiúba;71.47
BA;2917102;Itororó;69.31
BA;2917201;Ituaçu;71.22
BA;2917300;Ituberá;71.11
BA;2917334;Iuiú;69.37
BA;2917359;Jaborandi;72.44
BA;2917409;Jacaraci;69.48
BA;2917508;Jacobina;71.29
BA;2917607;Jaguaquara;69.81
BA;2917706;Jaguarari;73.33
BA;2917805;Jaguaripe;70.8
BA;2917904;Jandaíra;69.93
BA;2918001;Jequié;72.42
BA;2918100;Jeremoabo;66.36
BA;2918209;Jiquiriçá;70.75
BA;2918308;Jitaúna;67.25
BA;2918357;João Dourado;67.52
BA;2918407;Juazeiro;72.76
BA;2918456;Jucuruçu;70.08
BA;2918506;Jussara;68.21
BA;2918555;Jussari;66.93
BA;2918605;Jussiape;69.17
BA;2918704;Lafaiete Coutinho;71.26
BA;2918753;Lagoa Real;70.82
BA;2918803;Laje;70.85
BA;2918902;Lajedão;71.68
BA;2919009;Lajedinho;70.2
BA;2919058;Lajedo do Tabocal;70.85
BA;2919108;Lamarão;69.79
BA;2919157;Lapão;70.27
BA;2919207;Lauro de Freitas;74.61
BA;2919306;Lençóis;71.51
BA;2919405;Licínio de Almeida;71.49
BA;2919504;Livramento de Nossa Senhora;72.6
BA;2919553;Luís Eduardo Magalhães;74.53
BA;2919603;Macajuba;71.81
BA;2919702;Macarani;71.94
BA;2919801;Macaúbas;72.43
BA;2919900;Macururé;69.9
BA;2919926;Madre de Deus;72.64
BA;2919959;Maetinga;70.07
BA;2920007;Maiquinique;66.4
BA;2920106;Mairi;69.63
BA;2920205;Malhada;69.02
BA;2920304;Malhada de Pedras;69.83
BA;2920403;Manoel Vitorino;69.48
BA;2920452;Mansidão;70.12
BA;2920502;Maracás;69.8
BA;2920601;Maragogipe;72.58
BA;2920700;Maraú;73.08
BA;2920809;Marcionílio Souza;69.24
BA;2920908;Mascote;69.64
BA;2921005;Mata de São João;74.09
BA;2921054;Matina;69.37
BA;2921104;Medeiros Neto;71.61
BA;2921203;Miguel Calmon;69.69
BA;2921302;Milagres;72.32
BA;2921401;Mirangaba;66.12
BA;2921450;Mirante;68.33
BA;2921500;Monte Santo;66.96
BA;2921609;Morpará;68.9
BA;2921708;Morro do Chapéu;70.98
BA;2921807;Mortugaba;71.28
BA;2921906;Mucugê;72.2
BA;2922003;Mucuri;73.05
BA;2922052;Mulungu do Morro;70.18
BA;2922102;Mundo Novo;72.43
BA;2922201;Muniz Ferreira;70.64
BA;2922250;Muquém de São Francisco;70.63
BA;2922300;Muritiba;72.74
BA;2922409;Mutuípe;70.08
BA;2922508;Nazaré;71.64
BA;2922607;Nilo Peçanha;70.72
BA;2922656;Nordestina;69.58
BA;2922706;Nova Canaã;72.35
BA;2922730;Nova Fátima;69.26
BA;2922755;Nova Ibiá;67.86
BA;2922805;Nova Itarana;68.73
BA;2922854;Nova Redenção;68.36
BA;2922904;Nova Soure;67.71
BA;2923001;Nova Viçosa;71.77
BA;2923035;Novo Horizonte;70.42
BA;2923050;Novo Triunfo;71.15
BA;2923100;Olindina;73.6
BA;2923209;Oliveira dos Brejinhos;69.81
BA;2923308;Ouriçangas;71.74
BA;2923357;Ourolândia;67.03
BA;2923407;Palmas de Monte Alto;71.61
BA;2923506;Palmeiras;71.91
BA;2923605;Paramirim;71.53
BA;2923704;Paratinga;71.46
BA;2923803;Paripiranga;68.02
BA;2923902;Pau Brasil;68.6
BA;2924009;Paulo Afonso;72.34
BA;2924058;Pé de Serra;71.74
BA;2924108;Pedrão;71.5
BA;2924207;Pedro Alexandre;71.68
BA;2924306;Piatã;71.16
BA;2924405;Pilão Arcado;69.19
BA;2924504;Pindaí;71.64
BA;2924603;Pindobaçu;70.4
BA;2924652;Pintadas;70.92
BA;2924678;Piraí do Norte;70.72
BA;2924702;Piripá;71.1
BA;2924801;Piritiba;70.61
BA;2924900;Planaltino;67.45
BA;2925006;Planalto;69.25
BA;2925105;Poções;72.85
BA;2925204;Pojuca;74.14
BA;2925253;Ponto Novo;70.7
BA;2925303;Porto Seguro;73.05
BA;2925402;Potiraguá;70.23
BA;2925501;Prado;72.03
BA;2925600;Presidente Dutra;68.77
BA;2925709;Presidente Jânio Quadros;71.29
BA;2925758;Presidente Tancredo Neves;68.63
BA;2925808;Queimadas;70.84
BA;2925907;Quijingue;66.36
BA;2925931;Quixabeira;70.19
BA;2925956;Rafael Jambeiro;71.06
BA;2926004;Remanso;70.41
BA;2926103;Retirolândia;71.36
BA;2926202;Riachão das Neves;71.73
BA;2926301;Riachão do Jacuípe;70.29
BA;2926400;Riacho de Santana;70.82
BA;2926509;Ribeira do Amparo;66.66
BA;2926608;Ribeira do Pombal;67.25
BA;2926657;Ribeirão do Largo;70.54
BA;2926707;Rio de Contas;71.01
BA;2926806;Rio do Antônio;69.38
BA;2926905;Rio do Pires;71
BA;2927002;Rio Real;68.74
BA;2927101;Rodelas;72.41
BA;2927200;Ruy Barbosa;71.18
BA;2927309;Salinas da Margarida;68.74
BA;2927408;Salvador;75.1
BA;2927507;Santa Bárbara;71.5
BA;2927606;Santa Brígida;67.58
BA;2927705;Santa Cruz Cabrália;72.03
BA;2927804;Santa Cruz da Vitória;72.17
BA;2927903;Santa Inês;67.25
BA;2928000;Santaluz;70.82
BA;2928059;Santa Luzia;71.07
BA;2928109;Santa Maria da Vitória;70.49
BA;2928208;Santana;71.58
BA;2928307;Santanópolis;69.76
BA;2928406;Santa Rita de Cássia;70.93
BA;2928505;Santa Teresinha;73.24
BA;2928604;Santo Amaro;71.29
BA;2928703;Santo Antônio de Jesus;73.92
BA;2928802;Santo Estêvão;73.47
BA;2928901;São Desidério;69.52
BA;2928950;São Domingos;70.39
BA;2929008;São Félix;71.11
BA;2929057;São Félix do Coribe;72.03
BA;2929107;São Felipe;72.21
BA;2929206;São Francisco do Conde;73.71
BA;2929255;São Gabriel;67.21
BA;2929305;São Gonçalo dos Campos;70.14
BA;2929354;São José da Vitória;66.16
BA;2929370;São José do Jacuípe;68.54
BA;2929404;São Miguel das Matas;71.98
BA;2929503;São Sebastião do Passé;73.69
BA;2929602;Sapeaçu;69.07
BA;2929701;Sátiro Dias;69.17
BA;2929750;Saubara;69.29
BA;2929800;Saúde;66.12
BA;2929909;Seabra;70.63
BA;2930006;Sebastião Laranjeiras;71.61
BA;2930105;Senhor do Bonfim;71.36
BA;2930154;Serra do Ramalho;71.51
BA;2930204;Sento Sé;71.68
BA;2930303;Serra Dourada;71.48
BA;2930402;Serra Preta;68.93
BA;2930501;Serrinha;71.66
BA;2930600;Serrolândia;68.23
BA;2930709;Simões Filho;73.75
BA;2930758;Sítio do Mato;71.46
BA;2930766;Sítio do Quinto;66.69
BA;2930774;Sobradinho;69.89
BA;2930808;Souto Soares;69.03
BA;2930907;Tabocas do Brejo Velho;70.82
BA;2931004;Tanhaçu;71.29
BA;2931053;Tanque Novo;71.67
BA;2931103;Tanquinho;71.1
BA;2931202;Taperoá;70.22
BA;2931301;Tapiramutá;70.14
BA;2931350;Teixeira de Freitas;73
BA;2931400;Teodoro Sampaio;71.41
BA;2931509;Teofilândia;69.22
BA;2931608;Teolândia;70.38
BA;2931707;Terra Nova;67.02
BA;2931806;Tremedal;69.94
BA;2931905;Tucano;67.69
BA;2932002;Uauá;69.84
BA;2932101;Ubaíra;70.54
BA;2932200;Ubaitaba;71.04
BA;2932309;Ubatã;72.29
BA;2932408;Uibaí;70.46
BA;2932457;Umburanas;67.31
BA;2932507;Una;67.61
BA;2932606;Urandi;70.95
BA;2932705;Uruçuca;70.45
BA;2932804;Utinga;67.38
BA;2932903;Valença;71.65
BA;2933000;Valente;68.75
BA;2933059;Várzea da Roça;71.5
BA;2933109;Várzea do Poço;67.43
BA;2933158;Várzea Nova;66.12
BA;2933174;Varzedo;70.18
BA;2933208;Vera Cruz;74.02
BA;2933257;Vereda;71.6
BA;2933307;Vitória da Conquista;72.3
BA;2933406;Wagner;69.2
BA;2933455;Wanderley;70.82
BA;2933505;Wenceslau Guimarães;70.11
BA;2933604;Xique-Xique;69.48
BA;2999919;Trancoso;
BA;2999929;Barcellos;
BA;2999939;Olivença;
BA;2999949;Villa Verde;
CE;2300101;Abaiara;69.87
CE;2300150;Acarapé;67.56
CE;2300200;Acaraú;70.47
CE;2300309;Acopiara;68.41
CE;2300408;Aiuaba;69.96
CE;2300507;Alcântaras;70.07
CE;2300606;Altaneira;71.41
CE;2300705;Alto Santo;71.44
CE;2300754;Amontada;70.63
CE;2300804;Antonina do Norte;71.32
CE;2300903;Apuiarés;69.44
CE;2301000;Aquiraz;72.27
CE;2301109;Aracati;69.52
CE;2301208;Aracoiaba;70.56
CE;2301257;Ararendá;70.76
CE;2301307;Araripe;70.54
CE;2301406;Aratuba;71.49
CE;2301505;Arneiroz;69.41
CE;2301604;Assaré;71.95
CE;2301703;Aurora;70.81
CE;2301802;Baixio;70.77
CE;2301851;Banabuiú;71.71
CE;2301901;Barbalha;74.02
CE;2301950;Barreira;71.25
CE;2302008;Barro;70.49
CE;2302057;Barroquinha;68.2
CE;2302107;Baturité;70.2
CE;2302206;Beberibe;71.67
CE;2302305;Bela Cruz;70.57
CE;2302404;Boa Viagem;71.09
CE;2302503;Brejo Santo;71.06
CE;2302602;Camocim;68.71
CE;2302701;Campos Sales;71.11
CE;2302800;Canindé;70.88
CE;2302909;Capistrano;68.82
CE;2303006;Caridade;71.74
CE;2303105;Cariré;69.92
CE;2303204;Caririaçu;68.81
CE;2303303;Cariús;70.07
CE;2303402;Carnaubal;70.58
CE;2303501;Cascavel;72.57
CE;2303600;Catarina;70.85
CE;2303659;Catunda;67.99
CE;2303709;Caucaia;73.48
CE;2303808;Cedro;70.18
CE;2303907;Chaval;67.97
CE;2303931;Choró;71.65
CE;2303956;Chorozinho;69.53
CE;2304004;Coreaú;70.5
CE;2304103;Crateús;72.24
CE;2304202;Crato;74.3
CE;2304236;Croatá;70.58
CE;2304251;Cruz;70.13
CE;2304269;Deputado Irapuan Pinheiro;69.52
CE;2304277;Ererê;70.23
CE;2304285;Eusébio;72.66
CE;2304301;Farias Brito;71.41
CE;2304350;Forquilha;70.62
CE;2304400;Fortaleza;74.41
CE;2304459;Fortim;69.06
CE;2304509;Frecheirinha;69.78
CE;2304608;General Sampaio;69.65
CE;2304657;Graça;70.28
CE;2304707;Granja;71.68
CE;2304806;Granjeiro;67.88
CE;2304905;Groaíras;68.41
CE;2304954;Guaiúba;71.05
CE;2305001;Guaraciaba do Norte;71.57
CE;2305100;Guaramiranga;69.14
CE;2305209;Hidrolândia;71.48
CE;2305233;Horizonte;72.3
CE;2305266;Ibaretama;70.52
CE;2305308;Ibiapina;71.04
CE;2305332;Ibicuitinga;70.5
CE;2305357;Icapuí;70.44
CE;2305407;Icó;68.88
CE;2305506;Iguatu;73.48
CE;2305605;Independência;70.51
CE;2305654;Ipaporanga;70.93
CE;2305704;Ipaumirim;68.72
CE;2305803;Ipu;70.69
CE;2305902;Ipueiras;69.1
CE;2306009;Iracema;68.97
CE;2306108;Irauçuba;70.28
CE;2306207;Itaiçaba;70.5
CE;2306256;Itaitinga;71.05
CE;2306306;Itapagé;70.57
CE;2306405;Itapipoca;70.63
CE;2306504;Itapiúna;71.49
CE;2306553;Itarema;70.2
CE;2306603;Itatira;69.79
CE;2306702;Jaguaretama;71.56
CE;2306801;Jaguaribara;69.1
CE;2306900;Jaguaribe;70.6
CE;2307007;Jaguaruana;71.72
CE;2307106;Jardim;71.72
CE;2307205;Jati;71.58
CE;2307254;Jijoca de Jericoacoara;68.35
CE;2307304;Juazeiro do Norte;73.58
CE;2307403;Jucás;71.32
CE;2307502;Lavras da Mangabeira;71.65
CE;2307601;Limoeiro do Norte;73.22
CE;2307635;Madalena;71.65
CE;2307650;Maracanaú;72.27
CE;2307700;Maranguape;72.27
CE;2307809;Marco;69.05
CE;2307908;Martinópole;70.57
CE;2308005;Massapê;71.7
CE;2308104;Mauriti;71.32
CE;2308203;Meruoca;70.68
CE;2308302;Milagres;71.61
CE;2308351;Milhã;72.01
CE;2308377;Miraíma;71.7
CE;2308401;Missão Velha;70.21
CE;2308500;Mombaça;69.09
CE;2308609;Monsenhor Tabosa;71.37
CE;2308708;Morada Nova;70.47
CE;2308807;Moraújo;71.1
CE;2308906;Morrinhos;70.57
CE;2309003;Mucambo;68.91
CE;2309102;Mulungu;70.56
CE;2309201;Nova Olinda;71.72
CE;2309300;Nova Russas;70.25
CE;2309409;Novo Oriente;70.79
CE;2309458;Ocara;71.25
CE;2309508;Orós;72.58
CE;2309607;Pacajus;72.3
CE;2309706;Pacatuba;71.75
CE;2309805;Pacoti;71.38
CE;2309904;Pacujá;69.7
CE;2310001;Palhano;68.35
CE;2310100;Palmácia;69.54
CE;2310209;Paracuru;69.73
CE;2310258;Paraipaba;69.25
CE;2310298;Cococi;
CE;2310308;Parambu;70.85
CE;2310407;Paramoti;69.45
CE;2310506;Pedra Branca;71.73
CE;2310605;Penaforte;70.64
CE;2310704;Pentecoste;69.06
CE;2310803;Pereiro;71.56
CE;2310852;Pindoretama;70.25
CE;2310902;Piquet Carneiro;71.73
CE;2310951;Pires Ferreira;71.13
CE;2311009;Poranga;69.76
CE;2311108;Porteiras;70.9
CE;2311207;Potengi;70.54
CE;2311231;Potiretama;70.23
CE;2311264;Quiterianópolis;71.46
CE;2311306;Quixadá;71.52
CE;2311355;Quixelô;68.49
CE;2311405;Quixeramobim;72.33
CE;2311504;Quixeré;71.44
CE;2311603;Redenção;70
CE;2311702;Reriutaba;70.63
CE;2311801;Russas;72.43
CE;2311900;Saboeiro;67.87
CE;2311959;Salitre;68.91
CE;2312007;Santana do Acaraú;70.28
CE;2312106;Santana do Cariri;71.72
CE;2312205;Santa Quitéria;71.48
CE;2312304;São Benedito;70.84
CE;2312403;São Gonçalo do Amarante;71.47
CE;2312502;São João do Jaguaribe;72.04
CE;2312601;São Luís do Curu;68.13
CE;2312700;Senador Pompeu;71.22
CE;2312809;Senador Sá;69.12
CE;2312908;Sobral;74.93
CE;2313005;Solonópole;70.22
CE;2313104;Tabuleiro do Norte;72.43
CE;2313203;Tamboril;71.71
CE;2313252;Tarrafas;70.04
CE;2313302;Tauá;71.4
CE;2313351;Tejuçuoca;69.54
CE;2313401;Tianguá;71.07
CE;2313500;Trairi;69.34
CE;2313559;Tururu;70.57
CE;2313609;Ubajara;71.14
CE;2313708;Umari;71.65
CE;2313757;Umirim;70.07
CE;2313807;Uruburetama;70.57
CE;2313906;Uruoca;69.7
CE;2313955;Varjota;68.65
CE;2314003;Várzea Alegre;70.54
CE;2314102;Viçosa do Ceará;70.2
CE;2399919;Entre Rios;
CE;2399929;Mecejana;
CE;2399939;Vertentes;
MA;2100055;Açailândia;72.07
MA;2100105;Afonso Cunha;68.48
MA;2100154;Água Doce do Maranhão;66.81
MA;2100204;Alcântara;70.18
MA;2100303;Aldeias Altas;68.22
MA;2100402;Altamira do Maranhão;68.16
MA;2100436;Alto Alegre do Maranhão;69.62
MA;2100477;Alto Alegre do Pindaré;71.44
MA;2100501;Alto Parnaíba;72.07
MA;2100550;Amapá do Maranhão;66.29
MA;2100600;Amarante do Maranhão;67.93
MA;2100709;Anajatuba;70.69
MA;2100808;Anapurus;70.85
MA;2100832;Apicum-Açu;68.1
MA;2100873;Araguanã;67.34
MA;2100907;Araioses;67.52
MA;2100956;Arame;67.06
MA;2101004;Arari;70.82
MA;2101103;Axixá;71.54
MA;2101202;Bacabal;70.18
MA;2101251;Bacabeira;71.09
MA;2101301;Bacuri;69.24
MA;2101350;Bacurituba;65.86
MA;2101400;Balsas;73.44
MA;2101509;Barão de Grajaú;69.58
MA;2101608;Barra do Corda;70.75
MA;2101707;Barreirinhas;70.11
MA;2101731;Belágua;67.4
MA;2101772;Bela Vista do Maranhão;69.07
MA;2101806;Benedito Leite;68.14
MA;2101905;Bequimão;70.42
